Date,Open,Close,High,Low,Volume,Typical_Price,lrets
2017-11-13,1123.0,1129.170044,1139.900024,1122.339966,2918400,1130.4700113333333,0.3388811473777231
2017-11-14,1130.109985,1136.839966,1138.0,1123.890015,3138400,1132.9099936666667,0.6769565233102348
2017-11-15,1127.01001,1126.689941,1131.75,1121.630005,3928700,1126.689982,-0.8968375456890776
2017-11-16,1130.160034,1137.290039,1138.160034,1130.050049,2213300,1135.1667073333333,0.9364195401121655
2017-11-17,1138.280029,1129.880005,1138.800049,1125.810059,2413400,1131.4967043333334,-0.6536836886702702
2017-11-20,1129.77002,1126.310059,1133.420044,1122.550049,2163900,1127.4267173333333,-0.31645817754935024
2017-11-21,1132.859985,1139.48999,1140.0,1128.199951,2479400,1135.896647,1.1633930065704234
2017-11-22,1141.0,1156.160034,1160.27002,1141.0,3555300,1152.4766846666666,1.4523413274444508
2017-11-24,1160.699951,1186.0,1186.839966,1160.699951,3528000,1177.846639,2.548210219070146
2017-11-27,1202.660034,1195.829956,1213.410034,1191.150024,6744000,1200.1300046666668,0.8254167587236516
2017-11-28,1204.880005,1193.599976,1205.339966,1188.52002,4559400,1195.8199873333333,-0.18665378026501145
2017-11-29,1194.800049,1161.27002,1194.800049,1145.189941,9257500,1167.08667,-2.74596793197599
2017-11-30,1167.099976,1176.75,1178.569946,1160.0,4509200,1171.7733153333334,1.324215025875386
2017-12-01,1172.050049,1162.349976,1179.650024,1152.0,4107100,1164.6666666666667,-1.2312604051008869
2017-12-04,1173.849976,1133.949951,1175.199951,1128.0,5931900,1145.716634,-2.473672783715486
2017-12-05,1128.26001,1141.569946,1159.27002,1124.73999,4079800,1141.8599853333333,0.6697391214168569
2017-12-06,1137.98999,1152.349976,1155.890015,1136.079956,2853300,1148.106649,0.9398854122236955
2017-12-07,1156.589966,1159.790039,1163.189941,1151.0,2511600,1157.9933266666667,0.6435673126214958
2017-12-08,1170.400024,1162.0,1172.790039,1157.099976,3050100,1163.9633383333332,0.19036705561479295
2017-12-11,1164.599976,1168.920044,1169.900024,1157.0,2363500,1165.273356,0.5937624800591124
2017-12-12,1166.51001,1165.079956,1173.599976,1161.609985,2235900,1166.7633056666666,-0.32905668080411843
2017-12-13,1170.0,1164.130005,1170.869995,1160.27002,2616800,1165.0900066666666,-0.08156852053495811
2017-12-14,1163.709961,1174.26001,1177.930054,1162.449951,3214300,1171.5466716666667,0.8664139261878034
2017-12-15,1179.030029,1179.140015,1182.75,1169.329956,4778600,1177.0733236666667,0.4147201446875748
2017-12-18,1187.369995,1190.579956,1194.780029,1180.910034,2947600,1188.756673,0.9655174460627691
2017-12-19,1189.150024,1187.380005,1192.969971,1179.140015,2587800,1186.4966636666666,-0.2691342986429923
2017-12-20,1190.5,1177.619995,1191.0,1176.0,2371200,1181.5399983333334,-0.8253755101817362
2017-12-21,1175.900024,1174.76001,1179.170044,1167.640015,2123100,1173.8566896666666,-0.24315683716622516
2017-12-22,1172.079956,1168.359985,1174.619995,1167.829956,1585100,1170.2699786666667,-0.5462836670555582
2017-12-26,1168.359985,1176.76001,1178.319946,1160.550049,2005200,1171.8766683333333,0.7163864486809501
2017-12-27,1179.910034,1182.26001,1187.290039,1175.609985,1867200,1181.7200113333333,0.4662961669681387
2017-12-28,1189.0,1186.099976,1190.099976,1184.380005,1841700,1186.8599856666667,0.3242724406384845
2017-12-29,1182.349976,1169.469971,1184.0,1167.5,2688400,1173.656657,-1.4119963891220166
2018-01-02,1172.0,1189.01001,1190.0,1170.51001,2694500,1183.17334,1.657040658507558
2018-01-03,1188.300049,1204.199951,1205.48999,1188.300049,3108800,1199.3299966666666,1.2694368844727855
2018-01-04,1205.0,1209.589966,1215.869995,1204.660034,3022100,1210.0399983333334,0.446602574719801
2018-01-05,1217.51001,1229.140015,1229.140015,1210.0,3544700,1222.76001,1.603331894639748
2018-01-08,1236.0,1246.869995,1253.079956,1232.030029,4279500,1243.9933266666667,1.4321657002057009
2018-01-09,1256.900024,1252.699951,1259.329956,1241.76001,3661300,1251.2633056666666,0.4664775699550816
2018-01-10,1245.150024,1254.329956,1254.329956,1237.22998,2686000,1248.629964,0.13003476545137005
2018-01-11,1259.73999,1276.680054,1276.77002,1256.459961,3125000,1269.9700116666666,1.766147022433362
2018-01-12,1273.390015,1305.199951,1305.76001,1273.390015,5443700,1294.7833253333333,2.2093247563542917
2018-01-16,1323.0,1304.859985,1339.939941,1292.300049,7220700,1312.3666583333334,-0.026050436408198152
2018-01-17,1312.23999,1295.0,1314.0,1280.880005,5253800,1296.6266683333333,-0.758504867930565
2018-01-18,1293.949951,1293.319946,1304.599976,1284.02002,4026900,1293.9799806666667,-0.12981812689281114
2018-01-19,1312.0,1294.579956,1313.0,1292.98999,4578500,1300.189982,0.09737703522381125
2018-01-22,1297.170044,1327.310059,1327.449951,1296.660034,4140100,1317.1400146666667,2.4968097929398247
2018-01-23,1338.089966,1362.540039,1364.900024,1337.339966,5169300,1354.9266763333333,2.619625138129855
2018-01-24,1374.819946,1357.51001,1388.160034,1338.0,6807500,1361.223348,-0.3698486897754094
2018-01-25,1368.0,1377.949951,1378.339966,1357.619995,4753000,1371.303304,1.4944705255097723
2018-01-26,1392.01001,1402.050049,1402.530029,1380.910034,4857300,1395.1633706666664,1.7338634360537952
2018-01-29,1409.180054,1417.680054,1431.390015,1400.439941,5701900,1416.5033366666667,1.1086284511963918
2018-01-30,1403.170044,1437.819946,1439.25,1392.0,5871900,1423.0233153333331,1.410626927917047
2018-01-31,1451.300049,1450.890015,1472.579956,1450.040039,6424700,1457.83667,0.9049131525947551
2018-02-01,1445.0,1390.0,1459.880005,1385.140015,9113800,1411.67334,-4.287342443787079
2018-02-02,1477.390015,1429.949951,1498.0,1414.0,11125700,1447.3166503333334,2.8335697216026468
2018-02-05,1402.619995,1390.0,1458.97998,1320.719971,11495000,1389.899983666667,-2.8335697216026468
2018-02-06,1361.459961,1442.839966,1443.98999,1351.790039,11066800,1412.8733316666667,3.730962282596284
2018-02-07,1449.0,1416.780029,1460.98999,1415.150024,7162700,1430.9733476666668,-1.8226658431226284
2018-02-08,1429.680054,1350.5,1433.75,1349.939941,8578600,1378.0633136666668,-4.79118172868036
2018-02-09,1373.48999,1339.599976,1383.5,1265.930054,14141500,1329.6766766666667,-0.8103850228416754
2018-02-12,1364.670044,1386.22998,1393.810059,1344.01001,6738900,1374.6833496666666,3.421677371654397
2018-02-13,1385.930054,1414.51001,1419.719971,1383.530029,5917900,1405.9200033333334,2.0195370701333815
2018-02-14,1406.25,1451.050049,1452.060059,1403.359985,5959200,1435.490031,2.5504277630806094
2018-02-15,1466.890015,1461.76001,1468.939941,1436.839966,5652700,1455.846639,0.7353729935611675
2018-02-16,1457.369995,1448.689941,1465.800049,1446.560059,4472600,1453.6833496666666,-0.8981536931605305
2018-02-20,1446.48999,1468.349976,1488.77002,1446.48999,6499200,1467.8699953333332,1.3479645973728083
2018-02-21,1485.0,1482.920044,1503.48999,1478.920044,6304400,1488.4433593333333,0.9873841616705015
2018-02-22,1495.359985,1485.339966,1502.540039,1475.76001,4858100,1487.880005,0.16305327215198062
2018-02-23,1495.339966,1500.0,1500.0,1486.5,4418100,1495.5,0.9821428721404679
2018-02-26,1509.199951,1521.949951,1522.839966,1507.0,4955000,1517.2633056666666,1.452726708499874
2018-02-27,1524.5,1511.97998,1526.780029,1507.209961,4808800,1515.3233233333333,-0.6572338264222211
2018-02-28,1519.51001,1512.449951,1528.699951,1512.0,4515000,1517.716634,0.031078319849076053
2018-03-01,1513.599976,1493.449951,1518.48999,1465.0,6835200,1492.3133136666668,-1.26419732301839
2018-03-02,1469.099976,1500.25,1501.050049,1455.01001,6587600,1485.4366863333332,0.45429139902370963
2018-03-05,1494.23999,1523.609985,1525.380005,1481.0,5233900,1509.9966633333333,1.5450748270716907
2018-03-06,1533.199951,1537.640015,1542.130005,1528.0,4561700,1535.92334,0.9166274060683932
2018-03-07,1526.52002,1545.0,1545.900024,1522.51001,4174100,1537.8033446666668,0.47751271308227317
2018-03-08,1550.0,1551.859985,1554.880005,1545.25,3862600,1550.66333,0.443029149110874
2018-03-09,1563.5,1578.890015,1578.939941,1559.079956,4534300,1572.303304,1.726787616183767
2018-03-12,1592.599976,1598.390015,1605.329956,1586.699951,5174200,1596.8066406666667,1.2274804018113095
2018-03-13,1615.959961,1588.180054,1617.540039,1578.01001,6531900,1594.576701,-0.6408141492336483
2018-03-14,1597.0,1591.0,1606.439941,1590.890015,4259400,1596.1099853333333,0.1774008827218232
2018-03-15,1595.0,1582.319946,1596.910034,1578.109985,4069700,1585.7799883333334,-0.5470658991737487
2018-03-16,1583.449951,1571.680054,1589.439941,1567.5,5425000,1576.206665,-0.6746945061351539
2018-03-19,1554.530029,1544.930054,1561.660034,1525.349976,6580800,1543.9800213333335,-1.7166508469591335
2018-03-20,1550.339966,1586.51001,1587.0,1545.410034,4581600,1572.9733480000002,2.6558004674529734
2018-03-21,1586.449951,1581.859985,1590.0,1563.170044,4750800,1578.3433429999998,-0.2935281135730605
2018-03-22,1565.469971,1544.920044,1573.849976,1542.400024,6320600,1553.7233480000002,-2.3629202817523343
2018-03-23,1539.01001,1495.560059,1549.02002,1495.359985,8006000,1513.3133546666668,-3.2471399459991446
2018-03-26,1530.0,1555.859985,1556.98999,1499.25,5624700,1537.3666583333334,3.9527679679987493
2018-03-27,1572.400024,1497.050049,1575.969971,1482.319946,6999600,1518.4466553333332,-3.853190002988427
2018-03-28,1447.0,1431.420044,1455.900024,1386.170044,13705300,1424.496704,-4.482954844612497
2018-03-29,1406.0,1447.339966,1455.469971,1365.199951,12581100,1422.6699626666668,1.106037616005029
2018-04-02,1417.619995,1371.98999,1421.359985,1355.0,10463600,1382.783325,-5.346513209957138
2018-04-03,1391.380005,1392.050049,1414.0,1355.329956,10231200,1387.1266683333333,1.4515282648540406
